12750
+Vehicle assignments
car8;z6
car2;z2
car3;z10
car1;z11
car0;z15
car10;z12
car13;z3
car11;z18
car12;z2
car6;z16
car9;z12
car7;z19
car4;z4
car5;z15
+Assigned requests
req67;car7
req5;car7
req34;car1
req90;car1
req85;car1
req39;car13
req53;car13
req54;car1
req4;car13
req76;car1
req87;car3
req20;car3
req74;car3
req55;car3
req41;car3
req80;car5
req93;car8
req1;car8
req79;car8
req71;car8
req56;car8
req70;car5
req31;car5
req29;car11
req94;car11
req24;car12
req50;car12
req44;car6
req46;car6
req35;car12
req10;car6
req83;car11
req86;car11
req68;car11
req64;car6
req84;car6
req23;car11
req33;car11
req15;car2
req3;car9
req92;car2
req89;car2
req98;car0
req13;car9
req8;car9
req30;car9
req9;car0
req22;car2
req36;car10
req73;car4
req40;car4
req61;car10
req12;car6
req25;car4
req26;car4
req52;car5
req2;car13
req28;car4
+Unassigned requests
req99
req38
req60
req14
req21
req97
req18
req63
req7
req11
req95
req88
req82
req78
req47
req43
req58
req81
req16
req69
req32
req6
req75
req45
req65
req96
req49
req62
req27
req19
req17
req72
req91
req66
req37
req42
req59
req77
req51
req48
req57
req0
