23540
+Vehicle assignments
car1;z10
car8;z17
car9;z14
car6;z15
car7;z6
car21;z21
car5;z6
car30;z8
car4;z24
car2;z3
car0;z5
car3;z8
car25;z20
car31;z3
car32;z12
car10;z13
car22;z24
car14;z9
car23;z6
car20;z22
car11;z17
car16;z6
car13;z6
car24;z8
car26;z14
car15;z19
car12;z3
car17;z23
car18;z5
car29;z15
car19;z24
car27;z20
car28;z24
+Assigned requests
req0;car1
req1;car8
req2;car9
req3;car6
req5;car21
req7;car9
req8;car5
req9;car30
req10;car8
req11;car4
req12;car2
req13;car5
req16;car25
req17;car31
req18;car32
req19;car2
req22;car22
req23;car14
req24;car23
req25;car32
req26;car20
req27;car5
req28;car6
req29;car2
req30;car9
req31;car9
req32;car11
req35;car23
req36;car6
req37;car13
req38;car4
req39;car8
req40;car20
req42;car8
req43;car23
req45;car9
req46;car32
req47;car24
req48;car11
req50;car26
req51;car15
req52;car8
req53;car12
req55;car17
req56;car8
req57;car2
req58;car30
req59;car18
req61;car25
req62;car29
req64;car31
req65;car15
req66;car9
req67;car32
req68;car19
req69;car4
req70;car11
req71;car21
req72;car11
req74;car12
req75;car2
req76;car27
req77;car18
req80;car4
req81;car20
req82;car17
req83;car12
req84;car30
req85;car24
req86;car30
req87;car4
req88;car6
req89;car2
req90;car5
req92;car1
req93;car30
req95;car26
req97;car22
req98;car22
req99;car30
req100;car31
req104;car32
req106;car26
req107;car21
req108;car31
req109;car6
req110;car15
req112;car32
req116;car24
req118;car13
req120;car12
req121;car21
req122;car24
req124;car5
req127;car14
req130;car25
req131;car20
req137;car19
req138;car11
req139;car15
req142;car13
req143;car27
req145;car20
req146;car31
req150;car12
req151;car14
req154;car1
req159;car17
req160;car31
req161;car15
req163;car1
req164;car13
req166;car13
req168;car18
req171;car19
req172;car26
req173;car5
req175;car21
req176;car18
req180;car14
req181;car4
req185;car22
req189;car18
req193;car1
req195;car29
req198;car17
req200;car23
req202;car27
req208;car26
req141;car29
req94;car7
req136;car7
req147;car7
req149;car7
req33;car14
req206;car24
req152;car16
req183;car16
req123;car16
req78;car25
req174;car28
req191;car28
req111;car0
req170;car0
req14;car29
req119;car25
req178;car21
req115;car10
req153;car10
req209;car10
req79;car0
req156;car0
req20;car3
req133;car3
req179;car3
req182;car3
req205;car3
req113;car7
req148;car10
req102;car10
req158;car15
req199;car10
+Unassigned requests
req41
req44
req49
req60
req63
req91
req103
req105
req114
req117
req125
req126
req128
req132
req134
req140
req155
req157
req162
req165
req167
req169
req177
req186
req187
req188
req190
req194
req196
req197
req201
req203
req204
req207
req15
req4
req6
req34
req184
req96
req135
req192
req54
req73
req21
req129
req144
req101
